ID,Country,Code,Year,Annual CO2 emissions
1,Afghanistan,AFG,2000,1047127.94
2,Afghanistan,AFG,2005,1889507
3,Afghanistan,AFG,2010,8364803.5
4,Afghanistan,AFG,2015,9670181
5,Afghanistan,AFG,2020,11605929
6,Afghanistan,AFG,2023,11020218
7,Albania,ALB,2000,3024926
8,Albania,ALB,2005,4261413
9,Albania,ALB,2010,4783865
10,Albania,ALB,2015,4712144
11,Albania,ALB,2020,4711145
12,Albania,ALB,2023,5144279
13,Algeria,DZA,2000,85398600
14,Algeria,DZA,2005,110992510
15,Algeria,DZA,2010,118353256
16,Algeria,DZA,2015,160087460
17,Algeria,DZA,2020,168177860
18,Algeria,DZA,2023,178132770
19,Andorra,AND,2000,523952
20,Andorra,AND,2005,575248
21,Andorra,AND,2010,516623.97
22,Andorra,AND,2015,465328
23,Andorra,AND,2020,381056
24,Andorra,AND,2023,423874
25,Angola,AGO,2000,15995108
26,Angola,AGO,2005,15386819
27,Angola,AGO,2010,22983320
28,Angola,AGO,2015,27506950
29,Angola,AGO,2020,16532997
30,Angola,AGO,2023,20780540
31,Anguilla,AIA,2000,76944
32,Anguilla,AIA,2005,109920
33,Anguilla,AIA,2010,131904
34,Anguilla,AIA,2015,139232
35,Anguilla,AIA,2020,142896
36,Anguilla,AIA,2023,144530
37,Antarctica,ATA,2000,3664
38,Antarctica,ATA,2005,7328
39,Antarctica,ATA,2010,0
40,Antarctica,ATA,2015,0
41,Antarctica,ATA,2020,0
42,Antarctica,ATA,2023,0
43,Antigua and Barbuda,ATG,2000,355408
44,Antigua and Barbuda,ATG,2005,479984
45,Antigua and Barbuda,ATG,2010,549600
46,Antigua and Barbuda,ATG,2015,582576
47,Antigua and Barbuda,ATG,2020,619216
48,Antigua and Barbuda,ATG,2023,644826
49,Argentina,ARG,2000,143468700
50,Argentina,ARG,2005,161588540
51,Argentina,ARG,2010,185945940
52,Argentina,ARG,2015,191743840
53,Argentina,ARG,2020,165120860
54,Argentina,ARG,2023,195805970
55,Armenia,ARM,2000,3491407
56,Armenia,ARM,2005,4376169
57,Armenia,ARM,2010,4252750
58,Armenia,ARM,2015,5469323
59,Armenia,ARM,2020,6795358
60,Armenia,ARM,2023,7608323
61,Aruba,ABW,2000,2377936
62,Aruba,ABW,2005,2718688
63,Aruba,ABW,2010,2506176
64,Aruba,ABW,2015,897680
65,Aruba,ABW,2020,820736
66,Aruba,ABW,2023,867180
67,Australia,AUS,2000,350007970
68,Australia,AUS,2005,386176000
69,Australia,AUS,2010,405131000
70,Australia,AUS,2015,401496600
71,Australia,AUS,2020,399183900
72,Australia,AUS,2023,382972000
73,Austria,AUT,2000,66177100
74,Austria,AUT,2005,79091840
75,Austria,AUT,2010,72008310
76,Austria,AUT,2015,66357460
77,Austria,AUT,2020,62175724
78,Austria,AUT,2023,58578050
79,Azerbaijan,AZE,2000,29765310
80,Azerbaijan,AZE,2005,34193560
81,Azerbaijan,AZE,2010,27549052
82,Azerbaijan,AZE,2015,34682950
83,Azerbaijan,AZE,2020,36233150
84,Azerbaijan,AZE,2023,43936972
85,Bahamas,BHS,2000,2026192
86,Bahamas,BHS,2005,1905280
87,Bahamas,BHS,2010,2227712
88,Bahamas,BHS,2015,2227712
89,Bahamas,BHS,2020,2033520
90,Bahamas,BHS,2023,2505352
91,Bahrain,BHR,2000,19199360
92,Bahrain,BHR,2005,24486512
93,Bahrain,BHR,2010,29075436
94,Bahrain,BHR,2015,32459652
95,Bahrain,BHR,2020,37395950
96,Bahrain,BHR,2023,36526764
97,Bangladesh,BGD,2000,26539266
98,Bangladesh,BGD,2005,37716884
99,Bangladesh,BGD,2010,54035524
100,Bangladesh,BGD,2015,76949380
101,Bangladesh,BGD,2020,95454296
102,Bangladesh,BGD,2023,113426860
103,Barbados,BRB,2000,1305480
104,Barbados,BRB,2005,1429072
105,Barbados,BRB,2010,1562936
106,Barbados,BRB,2015,1367624
107,Barbados,BRB,2020,1237213
108,Barbados,BRB,2023,1191738
109,Belarus,BLR,2000,54905984
110,Belarus,BLR,2005,59310290
111,Belarus,BLR,2010,62445120
112,Belarus,BLR,2015,58798910
113,Belarus,BLR,2020,59055548
114,Belarus,BLR,2023,56490772
115,Belgium,BEL,2000,126723040
116,Belgium,BEL,2005,125639600
117,Belgium,BEL,2010,114489600
118,Belgium,BEL,2015,101275020
119,Belgium,BEL,2020,91228270
120,Belgium,BEL,2023,83368480
121,Belize,BLZ,2000,395712
122,Belize,BLZ,2005,421360
123,Belize,BLZ,2010,538608
124,Belize,BLZ,2015,641200
125,Belize,BLZ,2020,584020
126,Belize,BLZ,2023,667898
127,Benin,BEN,2000,1472928
128,Benin,BEN,2005,2489730
129,Benin,BEN,2010,4679390
130,Benin,BEN,2015,5332540
131,Benin,BEN,2020,5517598
132,Benin,BEN,2023,5592317
133,Bermuda,BMU,2000,516623.97
134,Bermuda,BMU,2005,582576
135,Bermuda,BMU,2010,608224
136,Bermuda,BMU,2015,538608
137,Bermuda,BMU,2020,436016
138,Bermuda,BMU,2023,522532
139,Bhutan,BTN,2000,396871
140,Bhutan,BTN,2005,546084
141,Bhutan,BTN,2010,905464
142,Bhutan,BTN,2015,1485194
143,Bhutan,BTN,2020,1250269
144,Bhutan,BTN,2023,1713060
145,Bolivia,BOL,2000,8433878
146,Bolivia,BOL,2005,12312617
147,Bolivia,BOL,2010,14718776
148,Bolivia,BOL,2015,19886526
149,Bolivia,BOL,2020,18311650
150,Bolivia,BOL,2023,23359406
151,Bonaire Sint Eustatius and Saba,BES,2000,66885
152,Bonaire Sint Eustatius and Saba,BES,2005,68326
153,Bonaire Sint Eustatius and Saba,BES,2010,54346
154,Bonaire Sint Eustatius and Saba,BES,2015,95264
155,Bonaire Sint Eustatius and Saba,BES,2020,113584
156,Bonaire Sint Eustatius and Saba,BES,2023,114883
157,Bosnia and Herzegovina,BIH,2000,13702201
158,Bosnia and Herzegovina,BIH,2005,16045984
159,Bosnia and Herzegovina,BIH,2010,21145704
160,Bosnia and Herzegovina,BIH,2015,18460492
161,Bosnia and Herzegovina,BIH,2020,20831812
162,Bosnia and Herzegovina,BIH,2023,20179128
163,Botswana,BWA,2000,3777584
164,Botswana,BWA,2005,4092688
165,Botswana,BWA,2010,4537275
166,Botswana,BWA,2015,5417540
167,Botswana,BWA,2020,5550960
168,Botswana,BWA,2023,6713559
169,Brazil,BRA,2000,340183000
170,Brazil,BRA,2005,364371000
171,Brazil,BRA,2010,440269020
172,Brazil,BRA,2015,529353020
173,Brazil,BRA,2020,445208100
174,Brazil,BRA,2023,486470080
175,British Virgin Islands,VGB,2000,117248
176,British Virgin Islands,VGB,2005,164880
177,British Virgin Islands,VGB,2010,212512
178,British Virgin Islands,VGB,2015,227168
179,British Virgin Islands,VGB,2020,179536
180,British Virgin Islands,VGB,2023,185295
181,Brunei,BRN,2000,5328739
182,Brunei,BRN,2005,5428519
183,Brunei,BRN,2010,8017381.5
184,Brunei,BRN,2015,6933290
